OBJECTID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,Pop25P_e,Pop25P_m,NoHS_e,NoHS_m,pNoHS_e,pNoHS_m,SomeHS_e,SomeHS_m,pSomeHS_e,pSomeHS_m,HSGrad_e,HSGrad_m,pHSGrad_e,pHSGrad_m,SomeColl_e,SomeColl_m,pSomeColl_e,pSomeColl_m,Associates_e,Associates_m,pAssociates_e,pAssociates_m,BA_e,BA_m,pBA_e,pBA_m,GradProf_e,GradProf_m,pGradProf_e,pGradProf_m,LtHS_e,LtHS_m,pLtHS_e,pLtHS_m,HSPlus_e,HSPlus_m,pHSPlus_e,pHSPlus_m,BAPlus_e,BAPlus_m,pBAPlus_e,pBAPlus_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
564,30135,Yes,Atlanta Regional Commission,3233,ZCTA,ZCTA5 30135,42362,949,1271,269,3,0.6,2848,421,6.7,1,12399,762,29.3,1.7,9382,760,22.1,1.7,3310,469,7.8,1.1,7906,678,18.7,1.5,5246,570,12.4,1.3,4119,499,9.7,1.2,38243,1470,90.3,2.8,13152,885,31,2,,,,,0.908957531354917,0.0212429627859125
565,31554,No,Southern Georgia,3726,ZCTA,ZCTA5 31554,6032,560,381,126,6.3,2,1079,196,17.9,2.8,2702,321,44.8,3.3,838,204,13.9,3.1,580,218,9.6,3.5,266,81,4.4,1.3,186,88,3.1,1.4,1460,233,24.2,3.1,4572,454,75.8,2.7,452,119,7.5,1.9,,,,,1.5853575029502,0.0516629643569197
566,30137,Yes,Northwest Georgia,3234,ZCTA,ZCTA5 30137,1211,225,114,67,9.4,5.3,133,70,11,5.4,377,85,31.1,4,355,109,29.3,7.2,45,26,3.7,2,127,41,10.5,2.8,60,32,5,2.4,247,97,20.4,7.1,964,150,79.6,19.3,187,52,15.4,3.2,,,,,0.276115050350141,0.00100432274999886
567,31555,No,Heart of Georgia Altamaha,3727,ZCTA,ZCTA5 31555,1926,301,221,111,11.5,5.5,256,93,13.3,4.4,641,135,33.3,4.7,263,93,13.7,4.3,176,58,9.1,2.6,151,85,7.8,4.2,218,108,11.3,5.3,477,145,24.8,6.5,1449,221,75.2,16.4,369,137,19.2,6.4,,,,,1.6578454710004,0.0366104862065333
568,30139,Partial,Northwest Georgia,3235,ZCTA,ZCTA5 30139,2766,472,131,86,4.7,3,397,138,14.4,4.3,1118,232,40.4,4.7,559,140,20.2,3.7,199,116,7.2,4,232,90,8.4,2.9,130,76,4.7,2.6,528,163,19.1,4.9,2238,317,80.9,17.9,362,117,13.1,3.6,,,,,1.19682073411074,0.0182203199935566
569,31556,No,Southern Georgia,3728,ZCTA,ZCTA5 31556,37,21,4,35,10.8,94.2,14,34,37.8,90.1,4,14,10.8,37.1,2,23,5.4,62.3,10,9,27,18.7,1,13,2.7,36,2,29,5.4,78.9,18,49,48.6,129.3,19,43,51.4,112.1,3,32,8.1,86.7,,,,,0.062070844268869,0.000121130763892057
570,30141,Yes,ARC / NW,3236,ZCTA,ZCTA5 30141,15910,901,823,249,5.2,1.5,955,234,6,1.4,5119,507,32.2,2.6,3952,526,24.8,3,1456,297,9.2,1.8,2214,349,13.9,2,1391,285,8.7,1.7,1778,342,11.2,2.1,14132,908,88.8,2.7,3605,451,22.7,2.5,,,,,0.583679052387473,0.00747599050203723
571,31557,No,Southern Georgia,3729,ZCTA,ZCTA5 31557,2044,321,128,75,6.3,3.5,279,115,13.6,5.2,797,131,39,1.9,473,137,23.1,5.7,102,54,5,2.5,170,90,8.3,4.2,95,55,4.6,2.6,407,137,19.9,5.9,1637,224,80.1,16.7,265,106,13,4.7,,,,,1.71440874156551,0.0273534190992874
572,30143,Partial,ARC / GM / NW,3237,ZCTA,ZCTA5 30143,16931,538,806,242,4.8,1.4,1778,314,10.5,1.8,4593,440,27.1,2.5,3514,399,20.8,2.3,1385,313,8.2,1.8,3083,434,18.2,2.5,1772,296,10.5,1.7,2584,397,15.3,2.3,14347,852,84.7,4.3,4855,526,28.7,3,,,,,1.68172944852917,0.0355081799610094
573,31558,No,Coastal Regional Commission,3730,ZCTA,ZCTA5 31558,12889,445,140,70,1.1,0.5,663,209,5.1,1.6,3883,429,30.1,3.2,3595,432,27.9,3.2,1252,296,9.7,2.3,2065,312,16,2.4,1291,226,10,1.7,803,220,6.2,1.7,12086,779,93.8,5.1,3356,386,26,2.9,,,,,1.66397939523552,0.024905095073885
574,30144,Yes,Atlanta Regional Commission,3238,ZCTA,ZCTA5 30144,32453,1453,704,267,2.2,0.8,1251,309,3.9,0.9,6336,730,19.5,2.1,7412,749,22.8,2.1,2651,400,8.2,1.2,9553,781,29.4,2,4546,550,14,1.6,1955,409,6,1.2,30498,1472,94,1.7,14099,955,43.4,2.2,,,,,0.568510216943864,0.00575796765810519
575,31501,No,Southern Georgia,3695,ZCTA,ZCTA5 31501,10367,417,438,129,4.2,1.2,1327,218,12.8,2,4336,436,41.8,3.9,1956,304,18.9,2.8,775,231,7.5,2.2,902,201,8.7,1.9,633,172,6.1,1.6,1765,253,17,2.3,8602,637,83,5.2,1535,264,14.8,2.5,,,,,0.501938687900472,0.00325563240347863
576,30145,Partial,Northwest Georgia,3239,ZCTA,ZCTA5 30145,5351,597,181,88,3.4,1.6,462,167,8.6,3,2402,367,44.9,4.7,1094,256,20.4,4.2,420,161,7.8,2.9,396,137,7.4,2.4,396,126,7.4,2.2,643,189,12,3.3,4708,511,88,13.7,792,186,14.8,3.1,,,,,1.30595801169434,0.0203346199115523
577,30147,No,Northwest Georgia,3240,ZCTA,ZCTA5 30147,2937,410,212,99,7.2,3.2,485,165,16.5,5.1,1175,215,40,4.7,496,141,16.9,4.2,300,128,10.2,4.1,111,69,3.8,2.3,158,73,5.4,2.4,697,192,23.7,5.6,2240,304,76.3,14.9,269,100,9.2,3.2,,,,,0.652373242238751,0.004640207370831
578,30148,Partial,GM / NW,3241,ZCTA,ZCTA5 30148,396,149,7,36,1.8,9.2,14,43,3.5,10.8,143,82,36.1,15.8,92,78,23.2,17.7,0,18,0,4.6,51,48,12.9,11.1,89,87,22.5,20.2,21,56,5.3,14.1,375,152,94.7,14.2,140,99,35.4,21.2,,,,,0.502595129817074,0.00274174090291154
579,30149,No,Northwest Georgia,3242,ZCTA,ZCTA5 30149,72,29,1,34,1.4,47.8,0,37,0,51.1,0,18,0,25.5,1,23,1.4,31.4,0,18,0,25.5,39,23,54.2,24,31,32,43.1,40.4,1,50,1.4,70,71,52,98.6,60.8,70,39,97.2,38.1,,,,,0.337982699269581,0.00221779948633881
580,31503,No,Southern Georgia,3696,ZCTA,ZCTA5 31503,14005,644,638,188,4.6,1.3,1656,336,11.8,2.3,5958,505,42.5,3,3040,437,21.7,3,1011,261,7.2,1.8,1001,248,7.1,1.7,701,181,5,1.3,2294,385,16.4,2.6,11711,780,83.6,4,1702,307,12.2,2.1,,,,,3.10327307315271,0.082518834318891
581,31084,No,Heart of Georgia Altamaha,3637,ZCTA,ZCTA5 31084,22,19,0,37,0,167.1,0,37,0,167.1,9,11,40.9,33,9,27,40.9,115.2,0,18,0,83.6,4,15,18.2,65.3,0,32,0,144.7,0,52,0,236.4,22,49,100,204.5,4,35,18.2,158.8,,,,,0.039907146837221,6.87134366213209e-05
582,31085,No,Northeast Georgia,3638,ZCTA,ZCTA5 31085,818,172,111,51,13.6,5.5,143,53,17.5,5.4,296,86,36.2,7.3,132,45,16.1,4.3,72,44,8.8,5.1,34,21,4.2,2.5,30,28,3.7,3.3,254,74,31.1,6.2,564,112,68.9,20,64,35,7.8,4,,,,,0.77528783522472,0.0112564765218901
583,31087,No,CSRA / MG,3639,ZCTA,ZCTA5 31087,6767,241,590,129,8.7,1.9,1488,297,22,4.3,2790,322,41.2,4.5,1032,241,15.3,3.5,226,87,3.3,1.3,371,136,5.5,2,270,101,4,1.5,2078,324,30.7,4.7,4689,445,69.3,6.1,641,169,9.5,2.5,,,,,2.33267652598633,0.118311777325209
584,31088,No,Middle Georgia,3640,ZCTA,ZCTA5 31088,34149,974,888,295,2.6,0.9,1706,351,5,1,9004,894,26.4,2.5,8456,846,24.8,2.4,3992,537,11.7,1.5,6042,748,17.7,2.1,4061,574,11.9,1.6,2594,459,7.6,1.3,31555,1641,92.4,4,10103,943,29.6,2.6,,,,,0.756160306478394,0.00787432989670899
585,31002,No,Heart of Georgia Altamaha,3569,ZCTA,ZCTA5 31002,2043,223,130,60,6.4,2.9,379,100,18.6,4.5,941,172,46.1,6.8,380,94,18.6,4.1,118,51,5.8,2.4,64,48,3.1,2.3,31,26,1.5,1.2,509,117,24.9,5,1534,210,75.1,6.2,95,54,4.7,2.6,,,,,1.18398270775533,0.0291654027069586
586,31003,No,Middle Georgia,3570,ZCTA,ZCTA5 31003,68,28,0,37,0,54.1,16,29,23.5,41.9,32,17,47.1,15.9,2,23,2.9,33.4,4,14,5.9,19.9,6,5,8.8,7,8,15,11.8,21.1,16,47,23.5,68.4,52,35,76.5,41,14,16,20.6,21.4,,,,,0.19883238644842,0.00115067080887951
587,31089,No,CSRA / HOGA,3641,ZCTA,ZCTA5 31089,3162,249,218,75,6.9,2.3,629,144,19.9,4.3,1271,171,40.2,4.4,666,136,21.1,4,113,55,3.6,1.7,165,55,5.2,1.7,100,56,3.2,1.7,847,162,26.8,4.7,2315,238,73.2,4.8,265,78,8.4,2.4,,,,,1.46985019033845,0.0385448723904664
588,31005,No,Middle Georgia,3571,ZCTA,ZCTA5 31005,11021,756,282,142,2.6,1.3,305,153,2.8,1.4,2901,457,26.3,3.7,3234,447,29.3,3.5,1155,234,10.5,2,1819,296,16.5,2.4,1325,267,12,2.3,587,208,5.3,1.9,10434,789,94.7,3,3144,398,28.5,3,,,,,0.50925399760438,0.00487583548351229
589,31090,No,Middle Georgia,3642,ZCTA,ZCTA5 31090,620,128,50,42,8.1,6.6,78,36,12.6,5.2,344,95,55.5,10.3,71,37,11.5,5.4,19,30,3.1,4.8,39,28,6.3,4.4,19,29,3.1,4.6,128,56,20.6,7.9,492,114,79.4,8.3,58,41,9.4,6.3,,,,,1.44337998993286,0.0366704765061502
590,31006,No,River Valley,3572,ZCTA,ZCTA5 31006,3178,252,253,102,8,3.1,453,136,14.3,4.1,1247,192,39.2,5.2,755,163,23.8,4.8,193,85,6.1,2.6,162,76,5.1,2.4,115,62,3.6,1.9,706,170,22.2,5.1,2472,284,77.8,6.4,277,98,8.7,3,,,,,1.80234566378091,0.0454429116205826
591,31007,No,River Valley,3573,ZCTA,ZCTA5 31007,802,208,158,63,19.7,5.9,121,46,15.1,4.2,267,82,33.3,5.4,106,51,13.2,5.3,43,24,5.4,2.7,67,35,8.4,3.8,40,34,5,4.1,279,78,34.8,3.6,523,111,65.2,21.8,107,49,13.3,5.1,,,,,0.958101481804488,0.0155739747936607
592,31008,No,Middle Georgia,3574,ZCTA,ZCTA5 31008,12925,690,245,128,1.9,1,989,283,7.7,2.1,4108,479,31.8,3.3,4029,595,31.2,4.3,1099,282,8.5,2.1,1647,323,12.7,2.4,808,241,6.3,1.8,1234,310,9.5,2.3,11691,909,90.5,5.1,2455,403,19,2.9,,,,,0.931290096669848,0.0174678175254274
593,31091,No,MG / RV,3643,ZCTA,ZCTA5 31091,3519,259,310,110,8.8,3.1,921,273,26.2,7.5,1232,231,35,6,702,165,19.9,4.4,213,146,6.1,4.1,108,75,3.1,2.1,33,32,0.9,0.9,1231,295,35,8,2288,329,65,8,141,81,4,2.3,,,,,1.03833103218345,0.0218464422586548
594,31009,No,Heart of Georgia Altamaha,3575,ZCTA,ZCTA5 31009,1016,168,66,45,6.5,4.3,148,76,14.6,7.1,471,119,46.4,8.9,165,65,16.2,5.8,58,32,5.7,3,81,53,8,5.1,27,30,2.7,2.9,214,89,21.1,8,802,152,78.9,7.3,108,61,10.6,5.7,,,,,0.907339845457722,0.0178548740016946
595,31092,No,River Valley,3644,ZCTA,ZCTA5 31092,5028,356,388,142,7.7,2.8,637,197,12.7,3.8,2122,377,42.2,6.9,933,255,18.6,4.9,323,120,6.4,2.3,433,163,8.6,3.2,192,100,3.8,2,1025,243,20.4,4.6,4003,508,79.6,8.4,625,192,12.4,3.7,,,,,1.58084609978141,0.046873067070719
596,31093,No,Middle Georgia,3645,ZCTA,ZCTA5 31093,19887,1018,746,230,3.8,1.1,2319,456,11.7,2.2,6917,714,34.8,3.1,5386,580,27.1,2.6,1500,332,7.5,1.6,1963,351,9.9,1.7,1056,279,5.3,1.4,3065,511,15.4,2.4,16822,1076,84.6,3.2,3019,448,15.2,2.1,,,,,0.66144197807973,0.00494418978586044
597,31094,No,Central Savannah River Area,3646,ZCTA,ZCTA5 31094,825,163,39,36,4.7,4.3,109,61,13.2,6.9,233,72,28.2,6.8,201,86,24.4,9.2,120,56,14.5,6.1,92,55,11.2,6.3,31,37,3.8,4.4,148,71,17.9,7.8,677,142,82.1,5.7,123,66,14.9,7.5,,,,,1.01101911211882,0.027236785198265
598,31096,No,CSRA / HOGA,3647,ZCTA,ZCTA5 31096,5043,257,235,95,4.7,1.9,1020,243,20.2,4.7,2165,280,42.9,5.1,795,173,15.8,3.3,340,111,6.7,2.2,268,86,5.3,1.7,220,88,4.4,1.7,1255,261,24.9,5,3788,369,75.1,6.2,488,123,9.7,2.4,,,,,1.32079734728948,0.0429334735850683
599,31097,No,MG / TR,3648,ZCTA,ZCTA5 31097,1027,217,11,34,1.1,3.3,156,62,15.2,5.1,334,96,32.5,6.4,331,107,32.2,7.8,96,42,9.3,3.6,48,32,4.7,3,51,52,5,5,167,71,16.3,6,860,162,83.7,23.7,99,61,9.6,5.6,,,,,0.823174152242718,0.0134728823458066
600,31098,No,Middle Georgia,3649,ZCTA,ZCTA5 31098,1566,215,19,33,1.2,2.1,13,34,0.8,2.2,438,131,28,7.4,375,113,23.9,6.4,225,90,14.4,5.4,265,86,16.9,5,231,71,14.8,4,32,48,2,3,1534,224,98,4.9,496,111,31.7,5.6,,,,,0.500460025099759,0.00462735813628054
601,30238,Yes,Atlanta Regional Commission,3284,ZCTA,ZCTA5 30238,22780,1109,883,224,3.9,1,2029,370,8.9,1.6,8394,781,36.8,2.9,5532,611,24.3,2.4,1741,318,7.6,1.3,2687,398,11.8,1.7,1514,287,6.6,1.2,2912,433,12.8,1.8,19868,1151,87.2,2.7,4201,491,18.4,2,,,,,0.540411658651084,0.00428210239328358
602,30240,No,Three Rivers,3285,ZCTA,ZCTA5 30240,19114,671,937,213,4.9,1.1,1570,313,8.2,1.6,5918,541,31,2.6,4384,521,22.9,2.6,1453,297,7.6,1.5,2931,361,15.3,1.8,1921,275,10.1,1.4,2507,378,13.1,1.9,16607,927,86.9,3.8,4852,454,25.4,2.2,,,,,1.25973306521012,0.0417576097840758
603,30241,No,Three Rivers,3286,ZCTA,ZCTA5 30241,15571,603,776,182,5,1.2,2173,326,14,2,6099,532,39.2,3.1,3295,382,21.2,2.3,895,196,5.7,1.2,1494,252,9.6,1.6,839,175,5.4,1.1,2949,374,18.9,2.3,12622,749,81.1,3.6,2333,306,15,1.9,,,,,1.19630644924486,0.0281891072040539
604,30248,Partial,ARC / TR,3287,ZCTA,ZCTA5 30248,15193,1112,346,166,2.3,1.1,1382,314,9.1,2,5359,622,35.3,3.2,2926,478,19.3,2.8,1489,313,9.8,1.9,2628,429,17.3,2.5,1063,274,7,1.7,1728,355,11.4,2.2,13465,987,88.6,0.3,3691,509,24.3,2.8,,,,,1.03533509133465,0.01786221634184
605,31201,No,Middle Georgia,3650,ZCTA,ZCTA5 31201,5362,424,429,127,8,2.3,1019,197,19,3.3,1551,231,28.9,3.7,918,179,17.1,3,281,104,5.2,1.9,624,161,11.6,2.9,540,138,10.1,2.4,1448,234,27,3.8,3914,376,73,4,1164,212,21.7,3.6,,,,,0.419603997698691,0.00273714874983017
606,30250,Yes,Atlanta Regional Commission,3288,ZCTA,ZCTA5 30250,633,186,147,69,23.2,8.6,130,81,20.5,11.3,178,81,28.1,9.8,115,64,18.2,8.6,37,24,5.8,3.4,26,25,4.1,3.7,0,32,0,5,277,107,43.8,10.9,356,114,56.2,7.1,26,40,4.1,6.3,,,,,0.0559461279355557,6.74936807755346e-05
607,30251,No,Three Rivers,3289,ZCTA,ZCTA5 30251,1633,333,83,51,5.1,2.9,504,181,30.9,9.2,534,162,32.7,7.3,366,142,22.4,7.4,68,40,4.2,2.3,39,33,2.4,1.9,39,30,2.4,1.8,587,188,35.9,8.9,1046,223,64.1,4,78,44,4.8,2.5,,,,,0.539112683234795,0.00868973527865243
608,30252,Yes,ARC / TR,3290,ZCTA,ZCTA5 30252,27664,1072,774,275,2.8,1,1300,329,4.7,1.2,8898,770,32.2,2.5,6114,674,22.1,2.3,2284,382,8.3,1.3,4971,567,18,1.9,3323,522,12,1.8,2074,429,7.5,1.5,25590,1337,92.5,3.2,8294,771,30,2.5,,,,,1.08147135745247,0.0232372406576844
609,30253,Yes,Atlanta Regional Commission,3291,ZCTA,ZCTA5 30253,34358,1156,1042,261,3,0.8,2555,448,7.4,1.3,9600,744,27.9,1.9,8155,759,23.7,2.1,3256,449,9.5,1.3,6082,703,17.7,2,3668,499,10.7,1.4,3597,519,10.5,1.5,30761,1440,89.5,2.9,9750,862,28.4,2.3,,,,,0.707174120732348,0.0123071354997269
610,30256,No,Three Rivers,3292,ZCTA,ZCTA5 30256,1705,276,52,46,3,2.7,142,64,8.3,3.5,697,174,40.9,7.8,383,125,22.5,6.4,53,27,3.1,1.5,236,90,13.8,4.8,142,61,8.3,3.3,194,79,11.4,4.2,1511,242,88.6,20.2,378,109,22.2,5.3,,,,,0.640451156206412,0.0086898433054233
611,31204,No,Middle Georgia,3651,ZCTA,ZCTA5 31204,19984,792,1195,238,6,1.2,2171,290,10.9,1.4,6966,581,34.9,2.6,4122,414,20.6,1.9,1241,252,6.2,1.2,2540,284,12.7,1.3,1749,218,8.8,1,3366,375,16.8,1.8,16618,838,83.2,2.6,4289,359,21.5,1.6,,,,,0.468509666019874,0.0036957492005625
612,30257,No,Three Rivers,3293,ZCTA,ZCTA5 30257,3200,361,133,108,4.2,3.3,287,155,9,4.8,1097,222,34.3,5.8,733,194,22.9,5.5,171,87,5.3,2.6,512,170,16,5,267,105,8.3,3.1,420,189,13.1,5.7,2780,366,86.9,5.9,779,200,24.3,5.6,,,,,0.942374602794241,0.0112702731441784
613,30258,No,Three Rivers,3294,ZCTA,ZCTA5 30258,1752,250,91,52,5.2,2.9,157,60,9,3.2,713,142,40.7,5.7,367,97,20.9,4.7,103,48,5.9,2.6,225,96,12.8,5.2,96,69,5.5,3.9,248,79,14.2,4.1,1504,215,85.8,0.4,321,119,18.3,6.3,,,,,0.885913009844108,0.0141911110641517
614,31206,No,Middle Georgia,3652,ZCTA,ZCTA5 31206,15364,694,1093,225,7.1,1.4,2637,393,17.2,2.4,6018,521,39.2,2.9,3223,410,21,2.5,835,223,5.4,1.4,1212,308,7.9,2,346,122,2.3,0.8,3730,453,24.3,2.7,11634,774,75.7,3.7,1558,331,10.1,2.1,,,,,0.836465062346812,0.00701951498441741
615,30259,Yes,Three Rivers,3295,ZCTA,ZCTA5 30259,1919,190,84,64,4.4,3.3,160,73,8.3,3.7,779,131,40.6,5.5,433,93,22.6,4.3,108,55,5.6,2.8,211,65,11,3.2,144,56,7.5,2.8,244,97,12.7,4.9,1675,190,87.3,4.8,355,86,18.5,4.1,,,,,0.575625539075837,0.00878838308622531
616,30260,Yes,Atlanta Regional Commission,3296,ZCTA,ZCTA5 30260,16945,981,1338,274,7.9,1.6,2292,412,13.5,2.3,5807,524,34.3,2.4,3967,517,23.4,2.7,943,259,5.6,1.5,1817,379,10.7,2.1,781,245,4.6,1.4,3630,495,21.4,2.6,13315,901,78.6,2.8,2598,451,15.3,2.5,,,,,0.43256007718024,0.00286545206188799
617,30263,Partial,Three Rivers,3297,ZCTA,ZCTA5 30263,37436,887,1808,372,4.8,1,3542,512,9.5,1.4,12086,763,32.3,1.9,8749,712,23.4,1.8,2387,335,6.4,0.9,5864,487,15.7,1.2,3000,382,8,1,5350,633,14.3,1.7,32086,1259,85.7,2.7,8864,619,23.7,1.6,,,,,1.46688407250832,0.0506647497991971
618,30265,Yes,Three Rivers,3298,ZCTA,ZCTA5 30265,23095,820,457,177,2,0.8,1010,253,4.4,1.1,5888,539,25.5,2.2,5341,541,23.1,2.2,1629,282,7.1,1.2,5995,529,26,2.1,2775,365,12,1.5,1467,309,6.4,1.3,21628,1037,93.6,3,8770,643,38,2.4,,,,,0.729954853115964,0.0108577371760592
619,30268,Yes,ARC / TR,3299,ZCTA,ZCTA5 30268,6735,604,366,144,5.4,2.1,952,287,14.1,4.1,2491,457,37,5.9,1293,240,19.2,3.1,244,108,3.6,1.6,851,191,12.6,2.6,538,153,8,2.2,1318,321,19.6,4.4,5417,582,80.4,4.7,1389,245,20.6,3.1,,,,,0.921278637051901,0.016709881887769
620,30269,Yes,Atlanta Regional Commission,3300,ZCTA,ZCTA5 30269,24139,461,315,146,1.3,0.6,535,176,2.2,0.7,3396,368,14.1,1.5,4355,442,18,1.8,1860,322,7.7,1.3,8651,564,35.8,2.2,5027,497,20.8,2,850,229,3.5,0.9,23289,1000,96.5,3.7,13678,752,56.7,2.9,,,,,0.406411450042265,0.00652727004749533
621,30273,Yes,Atlanta Regional Commission,3301,ZCTA,ZCTA5 30273,9047,831,262,166,2.9,1.8,696,233,7.7,2.5,2890,453,31.9,4.1,2030,432,22.4,4.3,476,196,5.3,2.1,1863,501,20.6,5.2,830,259,9.2,2.7,958,286,10.6,3,8089,865,89.4,4.9,2693,564,29.8,5.6,,,,,0.277616514398068,0.00165621544280553
622,30274,Yes,Atlanta Regional Commission,3302,ZCTA,ZCTA5 30274,22040,895,1266,333,5.7,1.5,1800,338,8.2,1.5,6923,621,31.4,2.5,6365,575,28.9,2.3,1867,340,8.5,1.5,2726,412,12.4,1.8,1093,268,5,1.2,3066,474,13.9,2.1,18974,1035,86.1,3.1,3819,491,17.3,2.1,,,,,0.475012521011199,0.00267022579162911
623,30275,Yes,Three Rivers,3303,ZCTA,ZCTA5 30275,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,,,,,0.039663905483832,2.69177998155874e-05
624,30276,Partial,ARC / TR,3304,ZCTA,ZCTA5 30276,10040,556,437,141,4.4,1.4,642,172,6.4,1.7,2719,342,27.1,3.1,2678,336,26.7,3,728,158,7.3,1.5,1923,253,19.2,2.3,913,200,9.1,1.9,1079,223,10.7,2.1,8961,599,89.3,3.3,2836,323,28.2,2.8,,,,,1.08078327858857,0.0249428273586267
625,30277,Yes,Three Rivers,3305,ZCTA,ZCTA5 30277,14978,802,275,124,1.8,0.8,835,233,5.6,1.5,4192,517,28,3.1,3101,366,20.7,2.2,1261,258,8.4,1.7,3769,378,25.2,2.1,1545,256,10.3,1.6,1110,264,7.4,1.7,13868,823,92.6,2.4,5314,457,35.5,2.4,,,,,0.861512861565051,0.0113512082158767
626,30281,Yes,Atlanta Regional Commission,3306,ZCTA,ZCTA5 30281,44378,1407,1703,346,3.8,0.8,3155,459,7.1,1,12734,862,28.7,1.7,10921,912,24.6,1.9,3833,598,8.6,1.3,8179,923,18.4,2,3853,508,8.7,1.1,4858,575,10.9,1.2,39520,1744,89.1,2.7,12032,1053,27.1,2.2,,,,,0.952626215468721,0.0179019153837955
627,30284,Yes,Three Rivers,3307,ZCTA,ZCTA5 30284,53,45,7,37,13.2,68.5,6,36,11.3,68.1,16,16,30.2,17.3,0,26,0,49.1,8,17,15.1,29.5,5,15,9.4,27.7,11,29,20.8,52.3,13,52,24.5,95.4,40,48,75.5,64.6,16,33,30.2,56.8,,,,,0.0217198827879635,2.36960050019708e-05
628,30285,No,Three Rivers,3308,ZCTA,ZCTA5 30285,364,112,13,40,3.6,11,65,70,17.9,18.3,151,61,41.5,10.8,51,37,14,9.1,8,19,2.2,5.2,50,41,13.7,10.5,26,39,7.1,10.5,78,80,21.4,21.1,286,93,78.6,8.2,76,57,20.9,14.2,,,,,0.533492436908009,0.00432134760615506
629,30286,No,Three Rivers,3309,ZCTA,ZCTA5 30286,15497,465,939,209,6.1,1.3,2343,331,15.1,2.1,5697,438,36.8,2.6,3117,370,20.1,2.3,1372,249,8.9,1.6,1227,228,7.9,1.5,802,177,5.2,1.1,3282,392,21.2,2.4,12215,688,78.8,3.8,2029,289,13.1,1.8,,,,,1.45678731872766,0.0491046895929529
630,30288,Yes,Atlanta Regional Commission,3310,ZCTA,ZCTA5 30288,6258,695,633,272,10.1,4.2,562,214,9,3.3,1882,444,30.1,6.3,1330,331,21.3,4.7,613,243,9.8,3.7,855,241,13.7,3.5,383,151,6.1,2.3,1195,346,19.1,5.1,5063,668,80.9,5.8,1238,284,19.8,4,,,,,0.412935547084561,0.00197927025168658
631,30289,Yes,Three Rivers,3311,ZCTA,ZCTA5 30289,37,22,4,35,10.8,93.4,8,33,21.6,89.2,7,9,18.9,22.9,6,24,16.2,63,4,14,10.8,37.1,1,13,2.7,35.5,7,27,18.9,72.1,12,48,32.4,128.5,25,42,67.6,105.3,8,30,21.6,80.1,,,,,0.0468315059712403,5.42269458439611e-05
632,30290,Yes,Atlanta Regional Commission,3312,ZCTA,ZCTA5 30290,5696,387,102,87,1.8,1.5,109,85,1.9,1.5,1189,235,20.9,3.9,1110,214,19.5,3.5,395,133,6.9,2.3,1523,240,26.7,3.8,1268,236,22.3,3.9,211,122,3.7,2.1,5485,482,96.3,5.4,2791,337,49,4.9,,,,,0.391229474604329,0.00461227761550433
633,30291,Yes,Atlanta Regional Commission,3313,ZCTA,ZCTA5 30291,12858,1174,582,317,4.5,2.4,1008,377,7.8,2.8,4517,724,35.1,4.6,3155,642,24.5,4.5,887,446,6.9,3.4,1705,486,13.3,3.6,1004,289,7.8,2.1,1590,493,12.4,3.7,11268,1206,87.6,4.9,2709,565,21.1,4,,,,,0.414263549548216,0.00310141297369223
634,30292,Partial,Three Rivers,3314,ZCTA,ZCTA5 30292,4034,422,167,94,4.1,2.3,392,161,9.7,3.9,1444,239,35.8,4.6,1218,262,30.2,5.7,333,126,8.3,3,347,129,8.6,3.1,133,71,3.3,1.7,559,186,13.9,4.4,3475,404,86.1,4.3,480,147,11.9,3.4,,,,,0.786629543526531,0.01476572009139
635,30293,No,Three Rivers,3315,ZCTA,ZCTA5 30293,2194,341,160,108,7.3,4.8,303,108,13.8,4.4,908,175,41.4,4.7,530,129,24.2,4.5,98,79,4.5,3.6,105,62,4.8,2.7,90,80,4.1,3.6,463,153,21.1,6.1,1731,253,78.9,16.8,195,101,8.9,4.4,,,,,1.28366864346782,0.0203792992590752
636,30664,No,Central Savannah River Area,3496,ZCTA,ZCTA5 30664,31,19,10,30,32.3,96.2,5,35,16.1,112.8,13,12,41.9,29.8,2,23,6.5,73.2,0,18,0,59.3,1,14,3.2,43.8,0,32,0,102.7,15,46,48.4,146.9,16,47,51.6,148,1,35,3.2,111.7,,,,,0.0369742503895959,7.05889344429843e-05
637,30665,No,Northeast Georgia,3497,ZCTA,ZCTA5 30665,58,39,3,32,5.2,55.5,8,33,13.8,56.4,44,30,75.9,12.5,3,19,5.2,32.4,0,18,0,31.7,0,18,0,31.7,0,32,0,54.9,11,46,19,78.7,47,55,81,76.7,0,37,0,63.4,,,,,0.144554247890576,0.000612854254700304
638,30666,Partial,Northeast Georgia,3498,ZCTA,ZCTA5 30666,6472,521,366,127,5.7,1.9,774,252,12,3.8,2111,350,32.6,4.7,1159,260,17.9,3.8,671,202,10.4,3,994,238,15.4,3.5,397,134,6.1,2,1140,283,17.6,4.1,5332,553,82.4,5.4,1391,273,21.5,3.8,,,,,0.708253013954743,0.00938243070403761
